,date,id_google,id_facebook,id_amazon,id_apple,mean_variation,portfolio_1,portfolio_2,portfolio_3,mean_volume,mean_variation_friday
25,2015-05-28,25,25,25,25,1.0334201402208874,10226.719009299999,10448.5749688,10554.6049626,11414375.0,0.0
26,2015-05-29,26,26,26,26,1.304216496864637,10186.5508763,10402.4429633,10503.990943100001,18158150.0,5.216865987458548
27,2015-06-01,27,27,27,27,1.5190285878061283,10165.353931,10402.410869800002,10497.6928796,13597350.0,0.0
28,2015-06-02,28,28,28,28,1.7465632748178535,10150.9190919,10380.3710931,10474.8851055,14049700.0,0.0
29,2015-06-03,29,29,29,29,1.201864447685649,10274.005858,10488.3229093,10570.1730171,16800850.0,0.0
30,2015-06-04,30,30,30,30,1.4729812984145183,10266.2160182,10464.360011,10532.596022599999,15793275.0,0.0
31,2015-06-05,31,31,31,31,1.0117289758501322,10220.1680048,10405.666988,10477.1170132,13766500.0,4.046915903400529
32,2015-06-08,32,32,32,32,1.7139955507633573,10167.2318393,10338.4508,10408.5927328,18320850.0,0.0
33,2015-06-09,33,33,33,33,1.8367155503299148,10043.4238141,10223.483806,10285.3357862,19079225.0,0.0
34,2015-06-10,34,34,34,34,1.6264661018915811,10105.0538943,10297.3958295,10369.023820899998,16151450.0,0.0
35,2015-06-11,35,35,35,35,1.489989931106115,10253.0818015,10437.8983582,10499.1973092,14546925.0,0.0
36,2015-06-12,36,36,36,36,0.8845884639929383,10167.1350196,10367.3939944,10434.9360432,12828575.0,3.5383538559717533
37,2015-06-15,37,37,37,37,1.0857230050164688,10061.558075199999,10258.292029600001,10312.571988,16619425.0,0.0
38,2015-06-16,38,38,38,38,1.1167005552101315,10067.985052600001,10249.158004,10312.071949000001,12139000.0,0.0
39,2015-06-17,39,39,39,39,1.1498084343259762,10140.9699625,10323.2528761,10386.9228849,13687125.0,0.0
40,2015-06-18,40,40,40,40,1.6278519272142045,10147.2899544,10336.067936399999,10391.7419778,16850325.0,0.0
41,2015-06-19,41,41,41,41,1.4403405639221316,10283.9042042,10486.2451838,10529.2651204,21114675.0,5.7613622556885264
42,2015-06-22,42,42,42,42,1.2532423331052112,10287.3142042,10463.5671007,10496.2270045,16624075.0,0.0
43,2015-06-23,43,43,43,43,2.0903407698266006,10324.961073800001,10467.7340735,10490.886087899999,21344825.0,0.0
44,2015-06-24,44,44,44,44,1.5707154357682804,10461.3111063,10590.770034599998,10593.887998799999,25139625.0,0.0
45,2015-06-25,45,45,45,45,1.4263796159794233,10493.6431011,10574.349100500001,10589.3711093,15703325.0,0.0
46,2015-06-26,46,46,46,46,1.4896134011847162,10451.484159,10564.2661278,10574.9840682,21753750.0,5.958453604738865
47,2015-06-29,47,47,47,47,1.73841453678365,10262.9201253,10379.509137600002,10395.2591018,22452575.0,0.0
48,2015-06-30,48,48,48,48,1.1420517882361123,10264.5521076,10377.766172399999,10393.056148399999,18050325.0,0.0
49,2015-07-01,49,49,49,49,1.2080152791198326,10322.762895799999,10458.9509984,10491.237076,14861725.0,0.0
50,2015-07-02,50,50,50,50,0.9354467858210991,10300.6681382,10417.9440869,10447.474044300001,11674775.0,0.0
51,2015-07-06,51,51,51,51,1.434110572250619,10225.1490493,10347.9601354,10368.212171,13970000.0,0.0
52,2015-07-07,52,52,52,52,2.4343764673577226,10302.9820489,10404.1209595,10421.188920699999,21264525.0,0.0
